4,61,99,236,8,13,43,15,119,0,38,196,105,459,5,56,0,310,355,377,27,103,22,5,127,8,0,9,9,13,3027,
38,6,0,0,204,0,0,0,15,0,0,77,2,1,86,0,0,16,5,6,79,2,2,0,22,0,0,0,1,1,591,
123,0,11,0,140,0,0,168,48,0,54,34,0,0,178,0,1,16,1,66,34,6,0,0,1,0,0,0,1,2,920,
57,3,0,19,230,4,3,1,101,0,0,12,3,10,85,0,1,22,35,4,36,4,0,1,40,0,4,5,44,57,1712,
245,2,114,391,143,40,22,16,61,3,4,176,174,391,30,34,5,637,294,160,40,106,32,29,81,1,12,56,78,95,5079,
79,0,1,2,63,12,2,0,67,0,0,16,0,0,147,0,0,52,1,11,28,1,0,1,3,0,0,0,0,1,665,
50,0,0,0,121,4,6,116,60,0,0,10,2,9,81,0,0,39,19,8,31,0,0,0,1,0,0,1,5,17,909,
466,1,0,10,881,0,3,4,192,0,0,2,11,2,155,0,0,36,3,84,24,0,0,0,18,0,4,2,25,21,2120,
34,15,101,104,60,62,90,0,2,0,35,154,72,709,98,27,4,83,223,316,1,74,1,4,4,39,0,40,9,1,2679,
3,0,0,0,2,0,1,0,0,1,0,0,0,0,16,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,48,
2,0,0,0,123,0,0,4,27,0,2,6,0,33,10,0,0,0,13,0,1,4,1,3,3,0,0,0,3,5,314,
118,1,6,160,261,3,5,1,164,0,0,191,3,0,133,7,1,12,35,10,16,24,11,0,180,0,3,2,13,18,1588,
143,23,0,3,366,1,1,11,96,0,1,3,22,0,116,63,0,0,18,0,48,0,0,0,224,0,2,1,10,14,1316,
68,0,63,296,245,14,381,4,73,1,20,39,3,16,215,3,9,1,102,307,13,9,0,0,40,0,5,48,16,35,2598,
15,57,21,54,21,119,18,8,52,0,31,73,198,409,139,88,0,344,75,181,506,59,133,2,12,40,0,1,10,5,3205,
52,0,0,0,116,0,0,2,33,0,0,69,0,2,75,48,0,94,19,31,29,0,0,1,0,0,1,0,3,5,670,
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,63,0,1,0,0,0,0,1,0,0,71,
138,2,36,73,563,6,31,2,159,0,24,14,50,40,219,4,0,96,91,80,39,8,13,0,58,2,3,8,27,29,2283,
92,5,29,3,206,7,2,153,129,0,16,18,8,20,189,48,2,0,93,330,72,0,13,2,15,2,7,3,45,49,2403,
113,1,12,0,316,2,13,961,229,0,1,21,1,4,451,0,0,102,48,57,47,1,15,0,45,0,2,32,50,32,3628,
32,19,49,18,124,1,51,7,27,0,2,149,21,102,1,33,0,138,143,198,3,0,0,0,3,0,0,12,6,5,1268,
31,0,1,0,329,0,0,0,51,0,0,0,0,2,27,0,1,0,2,0,0,2,0,1,1,1,0,0,0,1,472,
244,0,0,1,137,0,1,124,106,0,1,5,1,26,129,1,1,4,6,4,1,0,16,0,1,0,0,0,13,2,945,
2,0,7,0,4,1,0,0,7,0,1,0,0,1,0,10,0,0,3,8,0,0,0,7,0,0,0,0,1,0,69,
6,11,3,0,41,1,0,0,24,0,0,3,6,47,166,6,10,0,28,12,4,0,2,0,0,2,2,12,20,39,1065,
4,0,0,0,66,0,0,0,17,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,1,5,0,0,0,0,108,
2,0,2,0,1,0,0,0,3,1,0,0,0,0,0,0,1,0,6,1,0,0,0,0,0,0,0,0,0,0,104,
8,2,2,22,3,4,2,4,19,0,0,22,24,1,2,1,2,21,97,58,0,10,4,0,10,1,1,0,2,0,438,
1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,1,1,427,
3,0,0,1,3,2,0,0,2,0,0,6,1,3,1,5,0,1,2,0,0,0,0,0,0,0,0,42,0,46,515,
